Brightness Level,Color,Intensity
-1.0,R,1375.7861301369862
-1.0,R,1382.5191780821917
-1.0,R,1348.8539383561645
-1.0,R,1380.2748287671234
-1.0,R,1398.2296232876713
-1.0,R,1512.6914383561643
-1.0,R,1483.514897260274
-1.0,R,1499.2253424657533
-1.0,R,1591.2436643835617
-1.0,R,1526.1575342465753
-1.0,R,1501.469691780822
-1.0,R,1474.5375
-1.0,R,1725.9046232876713
-1.0,R,1550.8453767123287
-1.0,R,1488.003595890411
-1.0,R,1577.7775684931507
-1.0,R,1510.447089041096
-1.0,R,1485.7592465753426
-1.0,R,1624.908904109589
-1.0,R,1658.5741438356165
-1.0,R,1470.048801369863
-1.0,R,1494.7366438356164
-1.0,R,1479.026198630137
-1.0,R,1627.1532534246576
-1.0,R,1571.0445205479452
-1.0,R,1494.7366438356164
-1.0,R,1420.6731164383561
-1.0,R,1640.6193493150686
-1.0,R,1528.401883561644
-1.0,R,1490.2479452054795
-1.0,R,1490.2479452054795
-1.0,R,1591.2436643835617
-1.0,R,1521.6688356164384
-1.0,R,1476.7818493150685
-1.0,R,1508.2027397260274
-1.0,R,1586.7549657534246
-1.0,R,1479.026198630137
-1.0,R,1483.514897260274
-1.0,R,1600.2210616438356
-1.0,R,1562.0671232876712
-1.0,R,1566.5558219178083
-1.0,R,1645.1080479452055
-1.0,R,1539.6236301369863
-1.0,R,1481.2705479452054
-1.0,R,1555.3340753424657
-1.0,R,2212.9284246575344
-1.0,R,1555.3340753424657
-1.0,R,1748.348116438356
-1.0,R,1492.492294520548
-1.0,R,1501.469691780822
-1.0,R,1492.492294520548
-1.0,R,1501.469691780822
-1.0,R,1465.560102739726
-1.0,R,1479.026198630137
-1.0,R,1474.5375
-1.0,R,1499.2253424657533
-1.0,R,1472.2931506849316
-1.0,R,1517.1801369863015
-1.0,R,1465.560102739726
-1.0,R,1544.1123287671232
-1.0,R,1510.447089041096
-1.0,R,1826.9003424657535
-1.0,R,1526.1575342465753
-1.0,R,1640.6193493150686
-1.0,R,1483.514897260274
-1.0,R,1454.3383561643836
-1.0,R,1434.1392123287671
-1.0,R,1496.980993150685
-1.0,R,1510.447089041096
-1.0,R,1454.3383561643836
-1.0,R,1445.3609589041096
-1.0,R,1530.6462328767122
-1.0,R,1485.7592465753426
-1.0,R,1716.9272260273972
-1.0,R,1595.7323630136987
-1.0,R,1447.6053082191781
-1.0,R,1566.5558219178083
-1.0,R,1492.492294520548
-1.0,R,1512.6914383561643
-1.0,R,1485.7592465753426
-1.0,R,1562.0671232876712
-1.0,R,1501.469691780822
-1.0,R,1496.980993150685
-1.0,R,1537.3792808219177
-1.0,R,1600.2210616438356
-1.0,R,1802.2125
